Date;Time;Latitude;Longitude;ug/m3
15/02/2020;12:41:38;-6.973.787;107.635.948;3783395
15/02/2020;12:41:39;-6.973.736;107.635.963;3843797
15/02/2020;12:41:40;-6.973.736;107.635.963;3904199
15/02/2020;12:41:41;-6.973.675;107.635.971;3896651
15/02/2020;12:41:42;-6.973.675;107.635.971;3889103
15/02/2020;12:41:43;-6.973.619;107.635.978;3821147
15/02/2020;12:41:44;-6.973.619;107.635.978;3828698
15/02/2020;12:41:45;-6.973.570;107.635.986;3783395
15/02/2020;12:41:46;-6.973.570;107.635.986;3722992
15/02/2020;12:41:47;-6.973.521;107.635.993;3677689
15/02/2020;12:41:48;-6.973.521;107.635.993;3609736
15/02/2020;12:41:49;-6.973.462;107.636.016;3556884
15/02/2020;12:41:50;-6.973.462;107.636.016;3624835
15/02/2020;12:41:51;-6.973.411;107.636.032;3662589
15/02/2020;12:41:52;-6.973.411;107.636.032;3617288
15/02/2020;12:41:53;-6.973.361;107.636.039;3655037
15/02/2020;12:41:54;-6.973.361;107.636.039;4100511
15/02/2020;12:41:55;-6.973.308;107.636.062;3881549
15/02/2020;12:41:56;-6.973.308;107.636.062;3775845
15/02/2020;12:41:57;-6.973.255;107.636.070;3753194
15/02/2020;12:41:58;-6.973.255;107.636.070;3722992
15/02/2020;12:41:59;-6.973.203;107.636.077;3700342
15/02/2020;12:42:00;-6.973.203;107.636.077;3632387
15/02/2020;12:42:01;-6.973.148;107.636.085;3602185
15/02/2020;12:42:02;-6.973.148;107.636.085;3768294
15/02/2020;12:42:03;-6.973.100;107.636.085;3692791
15/02/2020;12:42:04;-6.973.100;107.636.085;3677689
15/02/2020;12:42:05;-6.973.061;107.636.108;3677689
15/02/2020;12:42:06;-6.973.061;107.636.108;3632387
15/02/2020;12:42:07;-6.973.018;107.636.123;3609736
15/02/2020;12:42:08;-6.973.018;107.636.123;3632387
15/02/2020;12:42:09;-6.972.978;107.636.123;3662589
15/02/2020;12:42:10;-6.972.978;107.636.123;3632387
