Date;Time;Latitude;Longitude;ug/m3
15/02/2020;12:47:35;-6.976.345;107.632.987;3365607
15/02/2020;12:47:36;-6.976.345;107.632.987;3526681
15/02/2020;12:47:37;-6.976.343;107.633.003;3519132
15/02/2020;12:47:38;-6.976.343;107.633.003;3511582
15/02/2020;12:47:39;-6.976.346;107.632.972;3504033
15/02/2020;12:47:40;-6.976.346;107.632.972;3496483
15/02/2020;12:47:41;-6.976.347;107.632.972;3488934
15/02/2020;12:47:42;-6.976.347;107.632.972;3458728
15/02/2020;12:47:43;-6.976.346;107.632.972;3443626
15/02/2020;12:47:44;-6.976.346;107.632.972;3424749
15/02/2020;12:47:45;-6.976.336;107.632.980;3405871
15/02/2020;12:47:46;-6.976.336;107.632.980;3386994
15/02/2020;12:47:47;-6.976.336;107.632.980;3368116
15/02/2020;12:47:48;-6.976.336;107.632.980;3349239
15/02/2020;12:47:49;-6.976.336;107.632.980;3330361
15/02/2020;12:47:50;-6.976.336;107.632.980;3311483
15/02/2020;12:47:51;-6.976.335;107.632.972;3292606
15/02/2020;12:47:52;-6.976.335;107.632.972;3273728
15/02/2020;12:47:53;-6.976.343;107.632.972;3254851
15/02/2020;12:47:54;-6.976.343;107.632.972;3235973
15/02/2020;12:47:55;-6.976.345;107.632.972;3217095
15/02/2020;12:47:56;-6.976.345;107.632.972;3198218
15/02/2020;12:47:57;-6.976.357;107.632.972;3179340
15/02/2020;12:47:58;-6.976.357;107.632.972;3160463
15/02/2020;12:47:59;-6.976.370;107.633.010;3141585
15/02/2020;12:48:00;-6.976.370;107.633.010;3122708
15/02/2020;12:48:01;-6.976.388;107.633.041;3103830
15/02/2020;12:48:02;-6.976.388;107.633.041;3084952
15/02/2020;12:48:03;-6.976.377;107.633.041;3066075
15/02/2020;12:48:04;-6.976.377;107.633.041;3047197
